CaseID,Activity,Timestamp,Resource
0,0,2010-01-13 06:40:25+00:00,0
0,1,2010-01-29 06:52:27+00:00,0
0,2,2010-01-29 06:52:34+00:00,0
0,3,2010-02-13 06:52:48+00:00,1
0,3,2010-02-13 06:52:48+00:00,1
1,0,2010-01-13 10:26:04+00:00,0
1,1,2010-01-19 07:26:05+00:00,0
1,2,2010-01-19 07:28:50+00:00,0
1,3,2010-02-13 10:00:28+00:00,1
2,0,2010-01-13 10:30:37+00:00,0
2,0,2010-01-27 11:31:11+00:00,0
2,1,2010-01-27 11:31:18+00:00,0
2,2,2010-01-27 11:31:24+00:00,0
2,1,2010-01-27 13:59:14+00:00,0
2,2,2010-01-27 13:59:23+00:00,0
2,3,2010-02-11 13:59:39+00:00,1
2,3,2010-03-05 14:01:37+00:00,2
3,0,2010-01-13 11:09:31+00:00,0
3,1,2010-01-26 07:50:48+00:00,0
3,2,2010-01-26 07:50:55+00:00,0
3,3,2010-02-13 11:10:27+00:00,1
3,3,2010-02-13 11:10:27+00:00,1
4,0,2010-01-13 15:25:25+00:00,0
4,0,2010-01-13 15:25:38+00:00,0
4,1,2010-01-14 09:42:31+00:00,0
4,2,2010-01-14 09:42:37+00:00,0
4,3,2010-02-13 15:01:54+00:00,1
5,0,2010-01-14 07:10:48+00:00,0
5,0,2010-01-14 07:11:02+00:00,0
5,1,2010-01-20 07:15:20+00:00,3
5,2,2010-01-20 07:26:05+00:00,3
5,3,2010-03-06 07:26:32+00:00,1
6,0,2010-01-14 07:52:50+00:00,0
6,1,2010-02-09 13:01:11+00:00,4
6,2,2010-02-17 07:44:53+00:00,4
6,3,2010-02-17 07:44:59+00:00,4
7,0,2010-01-14 08:35:38+00:00,0
7,0,2010-01-14 08:35:57+00:00,0
7,1,2010-02-01 09:43:31+00:00,0
7,2,2010-02-12 09:00:01+00:00,0
7,3,2010-02-27 09:00:17+00:00,1
8,0,2010-01-15 15:11:07+00:00,0
8,1,2010-02-01 06:16:26+00:00,0
8,2,2010-02-01 06:30:33+00:00,0
8,3,2010-02-16 06:30:55+00:00,1
9,0,2010-01-18 07:30:02+00:00,0
9,1,2010-01-18 07:30:24+00:00,0
9,2,2010-01-18 07:32:21+00:00,0
9,3,2010-03-03 07:40:25+00:00,1
10,0,2010-01-19 07:11:08+00:00,0
