,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
0,Queued-Awaiting Assignment,complete,Minnie-Org line A2,2006-01-11 14:49:42+00:00,Queued-Awaiting Assignment,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
1,Accepted-In Progress,complete,Minnie-Org line A2,2012-03-15 10:53:52+00:00,Accepted-In Progress,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
2,Accepted-Assigned,complete,Minnie-Org line A2,2012-03-15 10:56:17+00:00,Accepted-Assigned,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
3,Accepted-In Progress,complete,Minnie-Org line A2,2012-03-15 11:09:05+00:00,Accepted-In Progress,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
4,Completed-Closed,complete,Minnie-Org line A2,2012-03-15 11:11:33+00:00,Completed-Closed,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
5,Accepted-In Progress,complete,Tomas-Org line A2,2006-11-07 09:00:36+00:00,Accepted-In Progress,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
6,Accepted-In Progress,complete,Tomas-Org line A2,2006-11-07 12:05:44+00:00,Accepted-In Progress,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
7,Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 13:24:32+00:00,Accepted-Wait,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
8,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 05:09:09+00:00,Accepted-In Progress,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
9,Accepted-In Progress,complete,Carrie-Org line A2,2012-01-20 09:23:24+00:00,Accepted-In Progress,Carrie,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
10,Completed-Closed,complete,Carrie-Org line A2,2012-01-20 09:23:27+00:00,Completed-Closed,Carrie,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
11,Accepted-In Progress,complete,Tomas-Org line A2,2007-03-20 08:06:25+00:00,Accepted-In Progress,Tomas,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
12,Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 13:24:31+00:00,Accepted-Wait,Tomas,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
13,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 05:10:53+00:00,Accepted-In Progress,Tomas,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
14,Accepted-In Progress,complete,Carrie-Org line A2,2012-01-18 07:52:41+00:00,Accepted-In Progress,Carrie,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
15,Completed-Closed,complete,Carrie-Org line A2,2012-01-18 07:52:43+00:00,Completed-Closed,Carrie,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
16,Accepted-In Progress,complete,Tomas-Org line A2,2007-05-10 14:21:54+00:00,Accepted-In Progress,Tomas,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
17,Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 13:24:33+00:00,Accepted-Wait,Tomas,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
18,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 05:10:59+00:00,Accepted-In Progress,Tomas,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
19,Accepted-In Progress,complete,Carrie-Org line A2,2012-01-18 07:20:53+00:00,Accepted-In Progress,Carrie,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
20,Completed-Closed,complete,Carrie-Org line A2,2012-01-18 07:21:10+00:00,Completed-Closed,Carrie,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
21,Accepted-In Progress,complete,Niklas-Org line A2,2007-07-25 12:21:05+00:00,Accepted-In Progress,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
22,Accepted-Wait,complete,Niklas-Org line A2,2009-12-02 13:24:32+00:00,Accepted-Wait,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
23,Queued-Awaiting Assignment,complete,Niklas-Org line A2,2010-08-25 09:13:01+00:00,Queued-Awaiting Assignment,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
24,Accepted-In Progress,complete,Niklas-Org line A2,2011-09-05 07:24:13+00:00,Accepted-In Progress,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
25,Accepted-Assigned,complete,Niklas-Org line A2,2011-11-14 15:10:25+00:00,Accepted-Assigned,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
26,Accepted-In Progress,complete,Niklas-Org line A2,2012-01-03 10:30:35+00:00,Accepted-In Progress,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
27,Completed-Closed,complete,Niklas-Org line A2,2012-01-03 10:31:53+00:00,Completed-Closed,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
28,Accepted-In Progress,complete,Tomas-Org line A2,2008-05-07 16:58:51+00:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
29,Accepted-In Progress,complete,Tomas-Org line A2,2008-10-06 14:44:37+00:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
30,Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 13:24:34+00:00,Accepted-Wait,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
31,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-01 22:27:50+00:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
32,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-01 22:27:55+00:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
33,Accepted-In Progress,complete,Carrie-Org line A2,2012-01-20 06:53:32+00:00,Accepted-In Progress,Carrie,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
34,Completed-Closed,complete,Carrie-Org line A2,2012-01-20 06:53:35+00:00,Completed-Closed,Carrie,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
35,Accepted-In Progress,complete,Tomas-Org line A2,2008-06-04 10:02:18+00:00,Accepted-In Progress,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
36,Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 13:24:34+00:00,Accepted-Wait,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
37,Queued-Awaiting Assignment,complete,Tomas-Org line A2,2010-08-25 09:06:45+00:00,Queued-Awaiting Assignment,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
38,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 06:02:11+00:00,Accepted-In Progress,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
39,Accepted-Assigned,complete,Niklas-Org line A2,2011-11-14 15:09:27+00:00,Accepted-Assigned,Niklas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
40,Accepted-In Progress,complete,Tomas-Org line A2,2012-01-05 13:08:18+00:00,Accepted-In Progress,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
41,Completed-Closed,complete,Tomas-Org line A2,2012-01-05 13:09:00+00:00,Completed-Closed,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
42,Accepted-In Progress,complete,Juan-Org line V7n,2008-11-13 08:43:32+00:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
43,Accepted-In Progress,complete,Juan-Org line V7n,2012-01-30 09:56:24+00:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
44,Accepted-In Progress,complete,Juan-Org line V7n,2012-01-30 10:12:05+00:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
45,Queued-Awaiting Assignment,complete,Earl-Org line V7n,2012-02-16 13:52:16+00:00,Queued-Awaiting Assignment,Earl,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
46,Accepted-In Progress,complete,Juan-Org line V7n,2012-02-16 14:09:17+00:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
47,Queued-Awaiting Assignment,complete,Earl-Org line V7n,2012-02-16 14:09:43+00:00,Queued-Awaiting Assignment,Earl,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
48,Accepted-In Progress,complete,Juan-Org line V7n,2012-02-16 14:10:10+00:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
49,Completed-Closed,complete,Juan-Org line V7n,2012-03-19 08:26:32+00:00,Completed-Closed,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
50,Accepted-In Progress,complete,Tomas-Org line A2,2008-11-13 10:01:04+00:00,Accepted-In Progress,Tomas,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
51,Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 13:24:35+00:00,Accepted-Wait,Tomas,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
52,Accepted-In Progress,complete,Tomas-Org line A2,2011-11-14 14:57:27+00:00,Accepted-In Progress,Tomas,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
53,Accepted-In Progress,complete,Carrie-Org line A2,2012-01-18 09:17:14+00:00,Accepted-In Progress,Carrie,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
54,Completed-Closed,complete,Carrie-Org line A2,2012-01-18 09:19:21+00:00,Completed-Closed,Carrie,Org line A2,1-270427461,Variant 23,23,Fluxicon Disco
55,Accepted-In Progress,complete,Mats-Org line A2,2009-06-25 07:47:52+00:00,Accepted-In Progress,Mats,Org line A2,1-310231291,Variant 4,4,Fluxicon Disco
56,Accepted-In Progress,complete,Mats-Org line A2,2012-03-28 11:10:36+00:00,Accepted-In Progress,Mats,Org line A2,1-310231291,Variant 4,4,Fluxicon Disco
