accuracy,approach,fold,log
0.8527865608814572,Tax,3,bpi_challenge_2012
0.8553208299629413,Tax,2,bpi_challenge_2012
0.8577015072705874,Tax,4,bpi_challenge_2012
0.8581081081081081,Tax,1,bpi_challenge_2012
0.8489495151608435,Tax,0,bpi_challenge_2012
0.8470533208606174,Tax,0,helpdesk
0.844281663516068,Tax,1,helpdesk
0.8462630085146642,Tax,4,helpdesk
0.8298957126303592,Tax,3,helpdesk
0.8422154991854782,Tax,2,helpdesk
0.8496408944200518,Tax,4,bpi_challenge_2012_w
0.8559309195576428,Tax,3,bpi_challenge_2012_w
0.8562648414583043,Tax,1,bpi_challenge_2012_w
0.8500509317514531,Tax,2,bpi_challenge_2012_w
0.8554773689546187,Tax,0,bpi_challenge_2012_w
0.7965421173385775,Tax,4,bpi_challenge_2012_a
0.7996568347087181,Tax,0,bpi_challenge_2012_a
0.7803333333333333,Tax,3,bpi_challenge_2012_a
0.8015491235222177,Tax,2,bpi_challenge_2012_a
0.7982044312659583,Tax,1,bpi_challenge_2012_a
0.8981891348088531,Tax,1,nasa
0.8950143815915628,Tax,0,nasa
0.896425173304336,Tax,2,nasa
0.8903151317576745,Tax,4,nasa
0.8921568627450981,Tax,3,nasa
0.8456057007125891,Tax,4,env_permit
0.8606232294617564,Tax,2,env_permit
0.8641464855286474,Tax,3,env_permit
0.8605187319884726,Tax,1,env_permit
0.8547058823529412,Tax,0,env_permit
0.6900753680355004,Tax,2,bpi_challenge_2012_w_complete
0.6944386149003148,Tax,0,bpi_challenge_2012_w_complete
0.7050854113489102,Tax,1,bpi_challenge_2012_w_complete
0.7009173055859803,Tax,4,bpi_challenge_2012_w_complete
0.6988029072253099,Tax,3,bpi_challenge_2012_w_complete
0.826874205844981,Tax,1,bpi_challenge_2012_o
0.8284779560679234,Tax,3,bpi_challenge_2012_o
0.8271822849807445,Tax,0,bpi_challenge_2012_o
0.8305609915198956,Tax,4,bpi_challenge_2012_o
0.8012976480129764,Tax,2,bpi_challenge_2012_o
0.7997499542599256,Tax,0,bpi_challenge_2012_complete
0.8028073002199981,Tax,3,bpi_challenge_2012_complete
0.803477739469345,Tax,2,bpi_challenge_2012_complete
0.8063998060664829,Tax,4,bpi_challenge_2012_complete
0.8066378502554182,Tax,1,bpi_challenge_2012_complete
0.6443007275666937,Tax,4,bpi_challenge_2013_closed_problems
0.6337209302325582,Tax,1,bpi_challenge_2013_closed_problems
0.6456928838951311,Tax,3,bpi_challenge_2013_closed_problems
