,approach,brier,fold,log
0,Tax,0.21113962,4,bpi_challenge_2012_w
1,Tax,0.20757984,3,bpi_challenge_2012_w
2,Tax,0.20466447,1,bpi_challenge_2012_w
3,Tax,0.21281171,2,bpi_challenge_2012_w
4,Tax,0.20930672,0,bpi_challenge_2012_w
5,Tax,0.24302892,4,env_permit
6,Tax,0.2285514,2,env_permit
7,Tax,0.22202554,3,env_permit
8,Tax,0.23265743,1,env_permit
9,Tax,0.23694128,0,env_permit
10,Tax,0.24111219,0,helpdesk
11,Tax,0.25067016,1,helpdesk
12,Tax,0.23787582,4,helpdesk
13,Tax,0.2638729,3,helpdesk
14,Tax,0.24686435,2,helpdesk
15,Tax,0.117314845,1,nasa
16,Tax,0.12181983,0,nasa
17,Tax,0.11923243,2,nasa
18,Tax,0.12294427,4,nasa
19,Tax,0.123075135,3,nasa
20,Tax,0.2222912,1,bpi_challenge_2012_o
21,Tax,0.22467932,3,bpi_challenge_2012_o
22,Tax,0.22200723,0,bpi_challenge_2012_o
23,Tax,0.22268616,4,bpi_challenge_2012_o
24,Tax,0.22858354,2,bpi_challenge_2012_o
25,Tax,0.47568303,4,bpi_challenge_2013_closed_problems
26,Tax,0.48220742,1,bpi_challenge_2013_closed_problems
27,Tax,0.4547037,3,bpi_challenge_2013_closed_problems
28,Tax,0.47577092,2,bpi_challenge_2013_closed_problems
29,Tax,0.47165954,0,bpi_challenge_2013_closed_problems
30,Tax,0.27580968,0,bpi_challenge_2012_complete
31,Tax,0.27295694,3,bpi_challenge_2012_complete
32,Tax,0.26856697,2,bpi_challenge_2012_complete
33,Tax,0.26797944,4,bpi_challenge_2012_complete
34,Tax,0.2679199,1,bpi_challenge_2012_complete
35,Tax,0.2524756,4,bpi_challenge_2012_a
36,Tax,0.25217697,0,bpi_challenge_2012_a
37,Tax,0.2574426,3,bpi_challenge_2012_a
38,Tax,0.24622421,2,bpi_challenge_2012_a
39,Tax,0.24508746,1,bpi_challenge_2012_a
40,Tax,0.40320474,2,bpi_challenge_2012_w_complete
41,Tax,0.40300757,0,bpi_challenge_2012_w_complete
42,Tax,0.39554423,1,bpi_challenge_2012_w_complete
43,Tax,0.4010808,4,bpi_challenge_2012_w_complete
44,Tax,0.39925048,3,bpi_challenge_2012_w_complete
45,Tax,0.4459579,0,sepsis
46,Tax,0.4500719,3,sepsis
47,Tax,0.4568745,2,sepsis
48,Tax,0.43945974,4,sepsis
49,Tax,0.47160015,1,sepsis
50,Tax,0.38442004,2,bpi_challenge_2013_incidents
51,Tax,0.38571566,3,bpi_challenge_2013_incidents
52,Tax,0.38125888,1,bpi_challenge_2013_incidents
53,Tax,0.38100624,4,bpi_challenge_2013_incidents
54,Tax,0.37972018,0,bpi_challenge_2013_incidents
55,Tax,0.18860982,3,bpi_challenge_2012
56,Tax,0.18583684,2,bpi_challenge_2012
57,Tax,0.18328792,4,bpi_challenge_2012
58,Tax,0.18127155,1,bpi_challenge_2012
59,Tax,0.19062391,0,bpi_challenge_2012
60,Evermann,0.3931212027989425,1,bpi_challenge_2012_w
61,Evermann,0.385174931121342,2,bpi_challenge_2012_w
62,Evermann,0.3908992001607535,3,bpi_challenge_2012_w
63,Evermann,0.3873438669155558,4,bpi_challenge_2012_w
