,approach,f1-score,fold,log
0,Tax,0.5900304632068603,4,bpi_challenge_2013_closed_problems
1,Tax,0.5669914214033331,1,bpi_challenge_2013_closed_problems
2,Tax,0.5946063410776677,3,bpi_challenge_2013_closed_problems
3,Tax,0.5946122307241616,2,bpi_challenge_2013_closed_problems
4,Tax,0.6014940223813411,0,bpi_challenge_2013_closed_problems
5,Tax,0.8252533382268635,4,bpi_challenge_2012_w
6,Tax,0.8392767804133286,3,bpi_challenge_2012_w
7,Tax,0.8348249813285311,1,bpi_challenge_2012_w
8,Tax,0.826740996429422,2,bpi_challenge_2012_w
9,Tax,0.8362754421584947,0,bpi_challenge_2012_w
10,Tax,0.8931541687237524,1,nasa
11,Tax,0.8864061610410333,0,nasa
12,Tax,0.8874695793854168,2,nasa
13,Tax,0.8819017245383227,4,nasa
14,Tax,0.8825057093797594,3,nasa
15,Tax,0.6819425706668707,2,bpi_challenge_2012_w_complete
16,Tax,0.6771680539774797,0,bpi_challenge_2012_w_complete
17,Tax,0.6906364785569905,1,bpi_challenge_2012_w_complete
18,Tax,0.6661243963243373,4,bpi_challenge_2012_w_complete
19,Tax,0.6954700263266591,3,bpi_challenge_2012_w_complete
20,Tax,0.7589441336322509,0,bpi_challenge_2012_complete
21,Tax,0.7639502268870387,3,bpi_challenge_2012_complete
22,Tax,0.7723373416770198,2,bpi_challenge_2012_complete
23,Tax,0.7688968773514191,4,bpi_challenge_2012_complete
24,Tax,0.7691376092043093,1,bpi_challenge_2012_complete
25,Tax,0.8369613303516883,3,bpi_challenge_2012
26,Tax,0.8451883987635096,2,bpi_challenge_2012
27,Tax,0.8483258114270568,4,bpi_challenge_2012
28,Tax,0.8453811514340565,1,bpi_challenge_2012
29,Tax,0.8361900502816276,0,bpi_challenge_2012
30,Tax,0.6894346198254816,2,bpi_challenge_2013_incidents
31,Tax,0.6814644482193037,3,bpi_challenge_2013_incidents
32,Tax,0.6803059569103591,1,bpi_challenge_2013_incidents
33,Tax,0.680838877169439,4,bpi_challenge_2013_incidents
34,Tax,0.6871874793058245,0,bpi_challenge_2013_incidents
35,Tax,0.8041439325609765,1,bpi_challenge_2012_o
36,Tax,0.8072454483783705,3,bpi_challenge_2012_o
