,approach,fold,log,mcc
0,Tax,1,nasa,0.8966347754220675
1,Tax,0,nasa,0.8934196736798728
2,Tax,2,nasa,0.8953819087605922
3,Tax,4,nasa,0.8891620194992715
4,Tax,3,nasa,0.8912075498123944
5,Tax,0,bpi_challenge_2012_complete,0.785207093916255
6,Tax,3,bpi_challenge_2012_complete,0.7881452208796565
7,Tax,2,bpi_challenge_2012_complete,0.7878209885654263
8,Tax,4,bpi_challenge_2012_complete,0.7919815282558472
9,Tax,1,bpi_challenge_2012_complete,0.7922401110115728
10,Tax,4,bpi_challenge_2012_a,0.7759343001523866
11,Tax,0,bpi_challenge_2012_a,0.7794162628099952
12,Tax,3,bpi_challenge_2012_a,0.7593849786546422
13,Tax,2,bpi_challenge_2012_a,0.7811608069663434
14,Tax,1,bpi_challenge_2012_a,0.7784602519131705
15,Tax,2,bpi_challenge_2013_incidents,0.6238488208152697
16,Tax,3,bpi_challenge_2013_incidents,0.6217344481073409
17,Tax,1,bpi_challenge_2013_incidents,0.627684915394434
18,Tax,4,bpi_challenge_2013_incidents,0.6262143840468339
19,Tax,0,bpi_challenge_2013_incidents,0.6329697001478972
20,Tax,0,helpdesk,0.8078365019226016
21,Tax,1,helpdesk,0.8037875978901602
22,Tax,4,helpdesk,0.8062865701197085
23,Tax,3,helpdesk,0.787124204510402
24,Tax,2,helpdesk,0.8024239992416443
25,Tax,3,bpi_challenge_2012,0.8460840302385578
26,Tax,2,bpi_challenge_2012,0.8484295478468485
27,Tax,4,bpi_challenge_2012,0.8509905259478721
28,Tax,1,bpi_challenge_2012,0.8512716501904111
29,Tax,0,bpi_challenge_2012,0.8421568325966015
30,Tax,4,env_permit,0.8205142072560754
31,Tax,2,env_permit,0.8387522268881072
32,Tax,3,env_permit,0.8422202778517267
33,Tax,1,env_permit,0.8392794178922458
34,Tax,0,env_permit,0.831700933155286
35,Tax,4,bpi_challenge_2012_w,0.8343173163100234
