,approach,fold,log,recall
0,Tax,1,nasa,0.8981891348088531
1,Tax,0,nasa,0.8950143815915628
2,Tax,2,nasa,0.896425173304336
3,Tax,4,nasa,0.8903151317576745
4,Tax,3,nasa,0.8921568627450981
5,Tax,2,bpi_challenge_2012_w_complete,0.6900753680355004
6,Tax,0,bpi_challenge_2012_w_complete,0.6944386149003148
7,Tax,1,bpi_challenge_2012_w_complete,0.7050854113489102
8,Tax,4,bpi_challenge_2012_w_complete,0.7009173055859803
9,Tax,3,bpi_challenge_2012_w_complete,0.6988029072253099
10,Tax,4,bpi_challenge_2013_closed_problems,0.6443007275666937
11,Tax,1,bpi_challenge_2013_closed_problems,0.6337209302325582
12,Tax,3,bpi_challenge_2013_closed_problems,0.6456928838951311
13,Tax,2,bpi_challenge_2013_closed_problems,0.6373546511627907
14,Tax,0,bpi_challenge_2013_closed_problems,0.6392215568862275
15,Tax,4,bpi_challenge_2012_a,0.7965421173385775
16,Tax,0,bpi_challenge_2012_a,0.7996568347087181
17,Tax,3,bpi_challenge_2012_a,0.7803333333333333
18,Tax,2,bpi_challenge_2012_a,0.8015491235222177
19,Tax,1,bpi_challenge_2012_a,0.7982044312659583
20,Tax,0,helpdesk,0.8470533208606174
21,Tax,1,helpdesk,0.844281663516068
22,Tax,4,helpdesk,0.8462630085146642
23,Tax,3,helpdesk,0.8298957126303592
24,Tax,2,helpdesk,0.8422154991854782
25,Tax,4,env_permit,0.8456057007125891
26,Tax,2,env_permit,0.8606232294617564
27,Tax,3,env_permit,0.8641464855286474
28,Tax,1,env_permit,0.8605187319884726
29,Tax,0,env_permit,0.8547058823529412
30,Tax,1,bpi_challenge_2012_o,0.826874205844981
31,Tax,3,bpi_challenge_2012_o,0.8284779560679234
32,Tax,0,bpi_challenge_2012_o,0.8271822849807445
33,Tax,4,bpi_challenge_2012_o,0.8305609915198956
34,Tax,2,bpi_challenge_2012_o,0.8012976480129764
35,Tax,0,bpi_challenge_2012_complete,0.7997499542599256
36,Tax,3,bpi_challenge_2012_complete,0.8028073002199981
37,Tax,2,bpi_challenge_2012_complete,0.803477739469345
38,Tax,4,bpi_challenge_2012_complete,0.8063998060664829
39,Tax,1,bpi_challenge_2012_complete,0.8066378502554182
40,Tax,4,bpi_challenge_2012_w,0.8496408944200518
41,Tax,3,bpi_challenge_2012_w,0.8559309195576428
42,Tax,1,bpi_challenge_2012_w,0.8562648414583043
43,Tax,2,bpi_challenge_2012_w,0.8500509317514531
44,Tax,0,bpi_challenge_2012_w,0.8554773689546187
45,Tax,2,bpi_challenge_2013_incidents,0.6972321014380702
46,Tax,3,bpi_challenge_2013_incidents,0.6981965403018034
47,Tax,1,bpi_challenge_2013_incidents,0.7020778003436963
48,Tax,4,bpi_challenge_2013_incidents,0.7005405405405405
49,Tax,0,bpi_challenge_2013_incidents,0.7066053385613029
50,Tax,3,bpi_challenge_2012,0.8527865608814572
51,Tax,2,bpi_challenge_2012,0.8553208299629413
52,Tax,4,bpi_challenge_2012,0.8577015072705874
53,Tax,1,bpi_challenge_2012,0.8581081081081081
54,Tax,0,bpi_challenge_2012,0.8489495151608435
55,Tax,0,sepsis,0.6518076518076518
56,Tax,3,sepsis,0.6416031798608811
57,Tax,2,sepsis,0.6343810134701732
58,Tax,4,sepsis,0.649912739965096
59,Tax,1,sepsis,0.633423180592992
60,Evermann,2,nasa,0.21489737664809025
61,Evermann,1,nasa,0.1466130114017438
62,Evermann,0,nasa,0.1953157101766881
63,Evermann,3,nasa,0.22889433551198257
64,Evermann,4,nasa,0.232613420266232
65,Evermann,3,bpi_challenge_2012_w_complete,0.6782813168020522
66,Evermann,0,bpi_challenge_2012_w_complete,0.6742217558586918
67,Evermann,1,bpi_challenge_2012_w_complete,0.6834216899011716
68,Evermann,4,bpi_challenge_2012_w_complete,0.664498904709748
69,Evermann,2,bpi_challenge_2012_w_complete,0.6760583221807425
70,Evermann,2,bpi_challenge_2013_closed_problems,0.6140988372093024
71,Evermann,1,bpi_challenge_2013_closed_problems,0.6148255813953488
72,Evermann,3,bpi_challenge_2013_closed_problems,0.5685393258426966
73,Evermann,4,bpi_challenge_2013_closed_problems,0.5715440582053355
74,Evermann,0,bpi_challenge_2013_closed_problems,0.5726047904191617
75,Evermann,4,bpi_challenge_2012_a,0.7506555227794166
76,Evermann,0,bpi_challenge_2012_a,0.7560258191028679
77,Evermann,2,bpi_challenge_2012_a,0.7588259274357929
78,Evermann,3,bpi_challenge_2012_a,0.7651666666666667
79,Evermann,1,bpi_challenge_2012_a,0.7601515525903961
80,Evermann,1,helpdesk,0.8390831758034026
81,Evermann,0,helpdesk,0.8369971936389149
82,Evermann,2,helpdesk,0.836397486618571
83,Evermann,4,helpdesk,0.8450804162724692
84,Evermann,3,helpdesk,0.8254924681344148
85,Evermann,3,env_permit,0.7867690490253987
86,Evermann,4,env_permit,0.7737529691211401
87,Evermann,2,env_permit,0.7558073654390934
88,Evermann,1,env_permit,0.7435158501440923
89,Evermann,0,env_permit,0.7494117647058823
90,Evermann,0,bpi_challenge_2012_o,0.7942875481386393
91,Evermann,1,bpi_challenge_2012_o,0.7941550190597204
92,Evermann,2,bpi_challenge_2012_o,0.7938361719383618
93,Evermann,3,bpi_challenge_2012_o,0.7948278548060446
94,Evermann,4,bpi_challenge_2012_o,0.7937051532941944
95,Evermann,4,bpi_challenge_2012_complete,0.6218902457501287
96,Evermann,0,bpi_challenge_2012_complete,0.622186985424163
97,Evermann,3,bpi_challenge_2012_complete,0.6255693613856784
98,Evermann,1,bpi_challenge_2012_complete,0.625426956442886
99,Evermann,2,bpi_challenge_2012_complete,0.6241043321840803
100,Evermann,1,bpi_challenge_2012_w,0.7573404106718815
101,Evermann,2,bpi_challenge_2012_w,0.7547486368266523
102,Evermann,3,bpi_challenge_2012_w,0.7531889107710953
103,Evermann,4,bpi_challenge_2012_w,0.7519990695240034
104,Evermann,0,bpi_challenge_2012_w,0.7512075854254875
105,Evermann,0,bpi_challenge_2013_incidents,0.6656612878902126
