,approach,accuracy,fold,log
0,Tax,0.1204648625566489,2,sepsis
1,Tax,0.09983559458215,4,sepsis
2,Tax,0.1267289220273886,1,sepsis
3,Tax,0.116458915946126,3,sepsis
4,Tax,0.115570063968945,0,sepsis
5,Tax,0.3259349152435696,1,bpi_challenge_2013_incidents
6,Tax,0.4070137271765793,2,bpi_challenge_2013_incidents
7,Tax,0.31361407049076,3,bpi_challenge_2013_incidents
8,Tax,0.3038080790238288,4,bpi_challenge_2013_incidents
9,Tax,0.3177989466664564,0,bpi_challenge_2013_incidents
10,Tax,0.1728201922629078,1,bpi_challenge_2012_complete
11,Tax,0.1764470693786707,2,bpi_challenge_2012_complete
12,Tax,0.1613771041703582,3,bpi_challenge_2012_complete
13,Tax,0.1716682693075579,0,bpi_challenge_2012_complete
14,Tax,0.176150219835044,4,bpi_challenge_2012_complete
15,Tax,0.5863542551078295,1,bpi_challenge_2013_closed_problems
16,Tax,0.5771434434817666,2,bpi_challenge_2013_closed_problems
17,Tax,0.5972887099371984,4,bpi_challenge_2013_closed_problems
18,Tax,0.5697005971100135,0,bpi_challenge_2013_closed_problems
19,Tax,0.5817239146948207,3,bpi_challenge_2013_closed_problems
20,Tax,0.1051596072105218,1,bpi_challenge_2012_w
21,Tax,0.0967777581313914,3,bpi_challenge_2012_w
22,Tax,0.09319477069284,2,bpi_challenge_2012_w
23,Tax,0.0839877403659256,0,bpi_challenge_2012_w
24,Tax,0.1081901559124028,4,bpi_challenge_2012_w
25,Tax,0.0656625153665899,3,bpi_challenge_2012_w_complete
26,Tax,0.0733216037577417,4,bpi_challenge_2012_w_complete
27,Tax,0.1082614805630689,2,bpi_challenge_2012_w_complete
28,Tax,0.0816641235594885,0,bpi_challenge_2012_w_complete
29,Tax,0.065773824050563,1,bpi_challenge_2012_w_complete
30,Tax,0.8722491488339702,0,helpdesk
31,Tax,0.8746217785167061,4,helpdesk
32,Tax,0.8752724883680854,1,helpdesk
33,Tax,0.8683489199682634,2,helpdesk
34,Tax,0.8572204502698766,3,helpdesk
35,Tax,0.2096239025122869,1,nasa
36,Tax,0.2873897606573931,3,nasa
37,Tax,0.1249921029276846,4,nasa
38,Tax,0.3968036653342221,2,nasa
39,Tax,0.14108725639484,0,nasa
40,Tax,0.4781748948660635,1,bpi_challenge_2012_a
41,Tax,0.4733980042418553,4,bpi_challenge_2012_a
42,Tax,0.4817749862651641,0,bpi_challenge_2012_a
43,Tax,0.4856938028113401,2,bpi_challenge_2012_a
44,Tax,0.3792659470267912,3,bpi_challenge_2012_a
45,Tax,0.56794958808129,1,bpi_challenge_2012_o
46,Tax,0.55111614673959,4,bpi_challenge_2012_o
47,Tax,0.5679040102762901,0,bpi_challenge_2012_o
48,Tax,0.2347156409101082,2,bpi_challenge_2012_o
49,Tax,0.5645354206110375,3,bpi_challenge_2012_o
50,Tax,0.1690264722424628,3,bpi_challenge_2012
51,Tax,0.1319310747286429,1,bpi_challenge_2012
52,Tax,0.1365907065300803,0,bpi_challenge_2012
53,Tax,0.1346813547515186,4,bpi_challenge_2012
54,Tax,0.1325145008781187,2,bpi_challenge_2012
55,Tax,0.8137425987912007,2,env_permit
56,Tax,0.8127180600356566,4,env_permit
57,Tax,0.801407356590977,1,env_permit
58,Tax,0.831118316966655,3,env_permit
59,Tax,0.8227500097899002,0,env_permit
60,Evermann,0.2594738926920981,1,sepsis
61,Evermann,0.2662430101214216,0,sepsis
62,Evermann,0.2679037268126192,2,sepsis
63,Evermann,0.2782928189090018,3,sepsis
64,Evermann,0.274393480655216,4,sepsis
65,Evermann,0.4768063195364866,4,bpi_challenge_2013_incidents
66,Evermann,0.470976950709425,2,bpi_challenge_2013_incidents
67,Evermann,0.4707497823987656,3,bpi_challenge_2013_incidents
68,Evermann,0.4694939120808759,0,bpi_challenge_2013_incidents
69,Evermann,0.4772027457991745,1,bpi_challenge_2013_incidents
70,Evermann,0.2673394437315398,1,bpi_challenge_2012_complete
71,Evermann,0.2703412977656509,3,bpi_challenge_2012_complete
72,Evermann,0.2683529971836521,4,bpi_challenge_2012_complete
73,Evermann,0.2661719320540754,0,bpi_challenge_2012_complete
74,Evermann,0.2741863135370998,2,bpi_challenge_2012_complete
75,Evermann,0.6488752198129725,4,bpi_challenge_2013_closed_problems
76,Evermann,0.6509939966134357,1,bpi_challenge_2013_closed_problems
77,Evermann,0.6346463007766467,2,bpi_challenge_2013_closed_problems
78,Evermann,0.6305306076837193,3,bpi_challenge_2013_closed_problems
79,Evermann,0.6428831362999309,0,bpi_challenge_2013_closed_problems
80,Evermann,0.2788628281258323,2,bpi_challenge_2012_w
81,Evermann,0.2837610278240821,4,bpi_challenge_2012_w
82,Evermann,0.2806690539776187,0,bpi_challenge_2012_w
83,Evermann,0.2777837367205716,3,bpi_challenge_2012_w
84,Evermann,0.2789959697785034,1,bpi_challenge_2012_w
85,Evermann,0.3381327744964761,0,bpi_challenge_2012_w_complete
86,Evermann,0.3339927650504161,3,bpi_challenge_2012_w_complete
87,Evermann,0.336306951311235,4,bpi_challenge_2012_w_complete
88,Evermann,0.3377031103919766,2,bpi_challenge_2012_w_complete
89,Evermann,0.3401114160547009,1,bpi_challenge_2012_w_complete
90,Evermann,0.8342663141941709,2,helpdesk
91,Evermann,0.8355154723715689,1,helpdesk
92,Evermann,0.835272511573363,4,helpdesk
93,Evermann,0.8402240546066552,0,helpdesk
94,Evermann,0.8316353043120135,3,helpdesk
95,Evermann,0.122243896191342,0,nasa
96,Evermann,0.123785740850988,4,nasa
97,Evermann,0.1205830539944243,2,nasa
98,Evermann,0.1195255468409369,1,nasa
99,Evermann,0.1230677451163184,3,nasa
100,Evermann,0.5875884621369916,3,bpi_challenge_2012_a
101,Evermann,0.5861900772081153,1,bpi_challenge_2012_a
102,Evermann,0.581234637089642,0,bpi_challenge_2012_a
103,Evermann,0.5864968864989248,2,bpi_challenge_2012_a
104,Evermann,0.5822099297081584,4,bpi_challenge_2012_a
105,Evermann,0.5521630084762047,2,bpi_challenge_2012_o
106,Evermann,0.5526666959067245,4,bpi_challenge_2012_o
107,Evermann,0.5506363749861706,3,bpi_challenge_2012_o
108,Evermann,0.5571454281487791,0,bpi_challenge_2012_o
109,Evermann,0.5594572491539722,1,bpi_challenge_2012_o
110,Evermann,0.1945671244326069,4,bpi_challenge_2012
111,Evermann,0.1978434821917108,3,bpi_challenge_2012
112,Evermann,0.1972349293151105,2,bpi_challenge_2012
113,Evermann,0.199875997152113,0,bpi_challenge_2012
114,Evermann,0.2036980383754823,1,bpi_challenge_2012
115,Evermann,0.5728600221069211,3,env_permit
116,Evermann,0.5662365652363153,2,env_permit
117,Evermann,0.5633222165753103,1,env_permit
118,Evermann,0.5785870290318785,0,env_permit
119,Evermann,0.5754953412910657,4,env_permit
120,Camargo_argmax,0.2595824945671994,0,bpi_challenge_2013_incidents
121,Camargo_argmax,0.2642688627032949,1,bpi_challenge_2013_incidents
122,Camargo_argmax,0.2697596167849742,2,bpi_challenge_2013_incidents
123,Camargo_argmax,0.2583634258802212,3,bpi_challenge_2013_incidents
124,Camargo_argmax,0.2513225704764203,4,bpi_challenge_2013_incidents
125,Camargo_argmax,0.1945305059622344,0,bpi_challenge_2012_complete
126,Camargo_argmax,0.1959008788632631,1,bpi_challenge_2012_complete
127,Camargo_argmax,0.2977934153598207,2,bpi_challenge_2012_complete
128,Camargo_argmax,0.2053816254670458,3,bpi_challenge_2012_complete
129,Camargo_argmax,0.2153920662773289,4,bpi_challenge_2012_complete
130,Camargo_argmax,0.6666264432916627,0,bpi_challenge_2013_closed_problems
131,Camargo_argmax,0.6735294077194538,1,bpi_challenge_2013_closed_problems
132,Camargo_argmax,0.5918741782276776,2,bpi_challenge_2013_closed_problems
133,Camargo_argmax,0.6977248324707807,3,bpi_challenge_2013_closed_problems
134,Camargo_argmax,0.6908850352526921,4,bpi_challenge_2013_closed_problems
135,Camargo_argmax,0.1761776933595635,0,bpi_challenge_2012_w
136,Camargo_argmax,0.1550243473060768,1,bpi_challenge_2012_w
137,Camargo_argmax,0.25342822916433,2,bpi_challenge_2012_w
138,Camargo_argmax,0.1211724912679646,3,bpi_challenge_2012_w
139,Camargo_argmax,0.2645471365397951,4,bpi_challenge_2012_w
140,Camargo_argmax,0.06961734962523,0,bpi_challenge_2012_w_complete
141,Camargo_argmax,0.0363570097163387,1,bpi_challenge_2012_w_complete
142,Camargo_argmax,0.0363638935093735,2,bpi_challenge_2012_w_complete
143,Camargo_argmax,0.0273279925002398,3,bpi_challenge_2012_w_complete
144,Camargo_argmax,0.0806694628952246,4,bpi_challenge_2012_w_complete
145,Camargo_argmax,0.9118536798332688,0,helpdesk
146,Camargo_argmax,0.9148004773004816,1,helpdesk
147,Camargo_argmax,0.9100623953491822,2,helpdesk
148,Camargo_argmax,0.9028441038453512,3,helpdesk
149,Camargo_argmax,0.9154125369619192,4,helpdesk
150,Camargo_argmax,0.7034176610672384,0,bpi_challenge_2012_a
151,Camargo_argmax,0.6486801435121038,1,bpi_challenge_2012_a
152,Camargo_argmax,0.7025164628410031,2,bpi_challenge_2012_a
153,Camargo_argmax,0.651399544561611,3,bpi_challenge_2012_a
154,Camargo_argmax,0.5621736050198914,4,bpi_challenge_2012_a
155,Camargo_argmax,0.7046001286252439,0,bpi_challenge_2012_o
156,Camargo_argmax,0.6809752806113408,1,bpi_challenge_2012_o
157,Camargo_argmax,0.6686740253887897,2,bpi_challenge_2012_o
158,Camargo_argmax,0.6903538961837307,3,bpi_challenge_2012_o
159,Camargo_argmax,0.6778806107673067,4,bpi_challenge_2012_o
160,Camargo_argmax,0.1779535431843248,0,bpi_challenge_2012
161,Camargo_argmax,0.1869423441209939,1,bpi_challenge_2012
162,Camargo_argmax,0.1861703330622801,2,bpi_challenge_2012
163,Camargo_argmax,0.1716626343457879,3,bpi_challenge_2012
164,Camargo_argmax,0.2026376443796517,4,bpi_challenge_2012
165,Camargo_argmax,0.838111465600882,0,env_permit
166,Camargo_argmax,0.8308179507938256,1,env_permit
167,Camargo_argmax,0.8468580306614185,2,env_permit
168,Camargo_argmax,0.8625732691831184,3,env_permit
169,Camargo_argmax,0.8416991711549789,4,env_permit
170,Camargo_random,0.5339806443744873,0,bpi_challenge_2013_incidents
171,Camargo_random,0.5345071818724049,1,bpi_challenge_2013_incidents
172,Camargo_random,0.5362049638046162,2,bpi_challenge_2013_incidents
173,Camargo_random,0.5180212818292954,3,bpi_challenge_2013_incidents
174,Camargo_random,0.5242737131948396,4,bpi_challenge_2013_incidents
175,Camargo_random,0.4498646535585132,0,bpi_challenge_2012_complete
176,Camargo_random,0.4503635519790698,1,bpi_challenge_2012_complete
177,Camargo_random,0.4577517804852242,2,bpi_challenge_2012_complete
178,Camargo_random,0.4481630738602007,3,bpi_challenge_2012_complete
179,Camargo_random,0.4413798855816967,4,bpi_challenge_2012_complete
180,Camargo_random,0.543941001026144,0,bpi_challenge_2013_closed_problems
181,Camargo_random,0.5248991007074929,1,bpi_challenge_2013_closed_problems
182,Camargo_random,0.5360415933362699,2,bpi_challenge_2013_closed_problems
183,Camargo_random,0.5357456289915412,3,bpi_challenge_2013_closed_problems
184,Camargo_random,0.5376611344474311,4,bpi_challenge_2013_closed_problems
185,Camargo_random,0.3328404917011978,0,bpi_challenge_2012_w
186,Camargo_random,0.3328609934631568,1,bpi_challenge_2012_w
187,Camargo_random,0.3195678491145911,2,bpi_challenge_2012_w
188,Camargo_random,0.2844870713659132,3,bpi_challenge_2012_w
189,Camargo_random,0.2851287130974093,4,bpi_challenge_2012_w
190,Camargo_random,0.3159210792346962,0,bpi_challenge_2012_w_complete
191,Camargo_random,0.3000434896821937,1,bpi_challenge_2012_w_complete
192,Camargo_random,0.3196166538556713,2,bpi_challenge_2012_w_complete
193,Camargo_random,0.3240595928758886,3,bpi_challenge_2012_w_complete
194,Camargo_random,0.3357299091794604,4,bpi_challenge_2012_w_complete
195,Camargo_random,0.8525285849590497,0,helpdesk
196,Camargo_random,0.8561947683888285,1,helpdesk
197,Camargo_random,0.8502266133380705,2,helpdesk
198,Camargo_random,0.8421681127449654,3,helpdesk
199,Camargo_random,0.8607062870816785,4,helpdesk
200,Camargo_random,0.650299415272148,0,bpi_challenge_2012_a
201,Camargo_random,0.6307760290465686,1,bpi_challenge_2012_a
202,Camargo_random,0.6495498450242342,2,bpi_challenge_2012_a
203,Camargo_random,0.6455418294201819,3,bpi_challenge_2012_a
204,Camargo_random,0.6444172415159455,4,bpi_challenge_2012_a
205,Camargo_random,0.6185625355102597,0,bpi_challenge_2012_o
206,Camargo_random,0.5867296595036814,1,bpi_challenge_2012_o
207,Camargo_random,0.6151665691789819,2,bpi_challenge_2012_o
208,Camargo_random,0.5935514779889262,3,bpi_challenge_2012_o
209,Camargo_random,0.6068713221569947,4,bpi_challenge_2012_o
210,Camargo_random,0.3945340277337689,0,bpi_challenge_2012
211,Camargo_random,0.3985239894659298,1,bpi_challenge_2012
212,Camargo_random,0.381474988715611,2,bpi_challenge_2012
213,Camargo_random,0.3803299992658633,3,bpi_challenge_2012
214,Camargo_random,0.3905293080837021,4,bpi_challenge_2012
215,Camargo_random,0.7541596715910788,0,env_permit
216,Camargo_random,0.7624226297773969,1,env_permit
217,Camargo_random,0.7633788940511015,2,env_permit
218,Camargo_random,0.7782365572138296,3,env_permit
219,Camargo_random,0.7391747232949666,4,env_permit
220,Francescomarino,0.1008245050322152,2,sepsis
221,Francescomarino,0.0632462500189375,4,sepsis
222,Francescomarino,0.0936932065450195,1,sepsis
223,Francescomarino,0.0576732771603307,3,sepsis
224,Francescomarino,0.0554263892398322,0,sepsis
225,Francescomarino,0.3799902933158551,1,bpi_challenge_2013_incidents
226,Francescomarino,0.3254038240024048,2,bpi_challenge_2013_incidents
227,Francescomarino,0.3820144404800858,3,bpi_challenge_2013_incidents
228,Francescomarino,0.3486856009669311,4,bpi_challenge_2013_incidents
229,Francescomarino,0.3672826234202194,0,bpi_challenge_2013_incidents
230,Francescomarino,0.085919393945367,1,bpi_challenge_2012_complete
231,Francescomarino,0.0825798046686379,2,bpi_challenge_2012_complete
232,Francescomarino,0.0913928320831651,3,bpi_challenge_2012_complete
233,Francescomarino,0.085579870718746,0,bpi_challenge_2012_complete
234,Francescomarino,0.0957821418497657,4,bpi_challenge_2012_complete
235,Francescomarino,0.5310990258060139,1,bpi_challenge_2013_closed_problems
236,Francescomarino,0.5122096084919727,2,bpi_challenge_2013_closed_problems
237,Francescomarino,0.5341200220740505,4,bpi_challenge_2013_closed_problems
238,Francescomarino,0.5048437034741813,0,bpi_challenge_2013_closed_problems
239,Francescomarino,0.5556021564645109,3,bpi_challenge_2013_closed_problems
240,Francescomarino,0.1293662160133048,1,bpi_challenge_2012_w
241,Francescomarino,0.1420532022186235,3,bpi_challenge_2012_w
242,Francescomarino,0.1201860219194928,2,bpi_challenge_2012_w
243,Francescomarino,0.134667979512314,0,bpi_challenge_2012_w
244,Francescomarino,0.178490582328319,4,bpi_challenge_2012_w
245,Francescomarino,0.0989522777255757,3,bpi_challenge_2012_w_complete
