,approach,fold,log,nt_mae
0,Tax,0,bpi_challenge_2012_complete,0.5478846591810984
1,Tax,3,bpi_challenge_2012_complete,0.5437606347617238
2,Tax,2,bpi_challenge_2012_complete,0.5590552547133679
3,Tax,4,bpi_challenge_2012_complete,0.5396455181642132
4,Tax,1,bpi_challenge_2012_complete,0.5380058319082739
5,Tax,3,bpi_challenge_2012,0.3365887188281508
6,Tax,2,bpi_challenge_2012,0.34889629249814164
7,Tax,4,bpi_challenge_2012,0.3358867672643631
8,Tax,1,bpi_challenge_2012,0.33045430958421207
9,Tax,0,bpi_challenge_2012,0.34125256073580934
10,Tax,0,sepsis,1.8166468906418816
11,Tax,3,sepsis,1.7162421627786073
12,Tax,2,sepsis,1.9866282699676103
13,Tax,4,sepsis,1.7921612019271025
14,Tax,1,sepsis,1.910860957991018
15,Tax,2,bpi_challenge_2012_w_complete,1.3118449268113481
16,Tax,0,bpi_challenge_2012_w_complete,1.3307662955043118
17,Tax,1,bpi_challenge_2012_w_complete,1.2528089496496826
18,Tax,4,bpi_challenge_2012_w_complete,1.2731324488538132
19,Tax,3,bpi_challenge_2012_w_complete,1.3437024704451803
20,Tax,4,env_permit,1.1842922860900704
21,Tax,2,env_permit,0.8526061614324492
22,Tax,3,env_permit,0.6455809439501042
23,Tax,1,env_permit,1.0013575205902567
24,Tax,0,env_permit,0.8562436838954123
25,Tax,4,bpi_challenge_2012_a,1.1731475327841827
26,Tax,0,bpi_challenge_2012_a,1.107485943490443
27,Tax,3,bpi_challenge_2012_a,1.1694523801132544
28,Tax,2,bpi_challenge_2012_a,1.192741746315714
29,Tax,1,bpi_challenge_2012_a,1.1632588165364175
30,Tax,4,bpi_challenge_2013_closed_problems,37.345299865550004
31,Tax,1,bpi_challenge_2013_closed_problems,34.625648964101224
32,Tax,3,bpi_challenge_2013_closed_problems,38.76809395255833
33,Tax,2,bpi_challenge_2013_closed_problems,41.35153704059336
34,Tax,0,bpi_challenge_2013_closed_problems,33.30010737197012
35,Tax,1,bpi_challenge_2012_o,1.888224334950785
36,Tax,3,bpi_challenge_2012_o,1.8630909416000812
37,Tax,0,bpi_challenge_2012_o,1.8215327219682622
38,Tax,4,bpi_challenge_2012_o,1.7370908688193227
39,Tax,2,bpi_challenge_2012_o,1.8596558833486279
40,Tax,4,bpi_challenge_2012_w,0.5213371814845609
41,Tax,3,bpi_challenge_2012_w,0.5545289477069703
42,Tax,1,bpi_challenge_2012_w,0.5151757307765504
43,Tax,2,bpi_challenge_2012_w,0.5360617204126266
44,Tax,0,bpi_challenge_2012_w,0.5407031229848566
45,Tax,1,nasa,1.3661546039761464e-11
46,Tax,0,nasa,3.55379614443007e-11
47,Tax,2,nasa,7.873157452548722e-10
48,Tax,4,nasa,6.922925709155755e-12
49,Tax,3,nasa,1.5776178331356732e-09
50,Tax,2,bpi_challenge_2013_incidents,1.1214701064795993
51,Tax,3,bpi_challenge_2013_incidents,1.186992192693509
52,Tax,1,bpi_challenge_2013_incidents,1.141111836604672
53,Tax,4,bpi_challenge_2013_incidents,1.0512333587485894
54,Tax,0,bpi_challenge_2013_incidents,1.2039123078601446
55,Tax,0,helpdesk,3.9419012230071653
56,Tax,1,helpdesk,4.047745426417107
57,Tax,4,helpdesk,4.082403688198783
58,Tax,3,helpdesk,4.279398705229669
59,Tax,2,helpdesk,3.9721778069026015
60,Khan,1,bpi_challenge_2012_complete,0.7949885779782865
61,Khan,2,bpi_challenge_2012_complete,0.6670410624283597
62,Khan,4,bpi_challenge_2012_complete,0.6888417632202946
63,Khan,0,bpi_challenge_2012_complete,0.7563628889920909
64,Khan,3,bpi_challenge_2012_complete,0.8234250325675293
65,Khan,4,bpi_challenge_2012,0.4116680250869271
66,Khan,0,bpi_challenge_2012,0.4325890833875216
67,Khan,1,bpi_challenge_2012,0.44780518792220037
68,Khan,2,bpi_challenge_2012,0.45904699937160287
69,Khan,3,bpi_challenge_2012,0.37546892941799836
70,Khan,1,sepsis,2.2084541841280334
71,Khan,4,sepsis,2.4984569031241572
72,Khan,2,sepsis,2.295372343649792
73,Khan,0,sepsis,1.984356006615148
74,Khan,3,sepsis,1.9105358112463842
75,Khan,1,bpi_challenge_2012_w_complete,1.5417572562714088
76,Khan,4,bpi_challenge_2012_w_complete,2.1688433516781624
77,Khan,3,bpi_challenge_2012_w_complete,2.0728737038675016
78,Khan,0,bpi_challenge_2012_w_complete,1.7502441643414204
79,Khan,2,bpi_challenge_2012_w_complete,1.7212250602412564
80,Khan,3,env_permit,0.7884691914525187
81,Khan,1,env_permit,1.1855788191195302
82,Khan,0,env_permit,1.0117901686366104
83,Khan,2,env_permit,1.0218445762684916
84,Khan,4,env_permit,1.4228228024900922
85,Khan,0,bpi_challenge_2012_a,1.1885437343181946
86,Khan,4,bpi_challenge_2012_a,1.2409131387700088
87,Khan,3,bpi_challenge_2012_a,1.2408785271494622
88,Khan,2,bpi_challenge_2012_a,1.2701019143687236
89,Khan,1,bpi_challenge_2012_a,1.2791304115384556
90,Khan,4,bpi_challenge_2013_closed_problems,52.57437129619503
91,Khan,0,bpi_challenge_2013_closed_problems,48.119511902102595
92,Khan,1,bpi_challenge_2013_closed_problems,46.40434780063572
93,Khan,3,bpi_challenge_2013_closed_problems,54.82974952663421
94,Khan,2,bpi_challenge_2013_closed_problems,55.69635942572443
95,Khan,1,bpi_challenge_2012_o,2.146644306871486
96,Khan,2,bpi_challenge_2012_o,2.668209266669304
97,Khan,0,bpi_challenge_2012_o,2.0698278736263975
98,Khan,3,bpi_challenge_2012_o,2.989408403969681
99,Khan,4,bpi_challenge_2012_o,2.985154626747082
100,Khan,1,bpi_challenge_2012_w,0.7584025263927103
101,Khan,3,bpi_challenge_2012_w,0.6709030754464935
102,Khan,0,bpi_challenge_2012_w,0.6818673498081386
103,Khan,2,bpi_challenge_2012_w,0.6360363115843041
104,Khan,4,bpi_challenge_2012_w,0.6716069407276921
105,Khan,0,nasa,1.0347311886747046e-11
106,Khan,4,nasa,1.9231674470450464e-11
107,Khan,2,nasa,9.002371665990941e-10
