,approach,fold,log,precision
0,Tax,0,helpdesk,0.7984898365010533
1,Tax,1,helpdesk,0.8245958528496017
2,Tax,4,helpdesk,0.8093359761258332
3,Tax,3,helpdesk,0.7979900538004017
4,Tax,2,helpdesk,0.8041103229088189
5,Tax,4,bpi_challenge_2012_a,0.7453698457336126
6,Tax,0,bpi_challenge_2012_a,0.749411261305247
7,Tax,3,bpi_challenge_2012_a,0.715048184153476
8,Tax,2,bpi_challenge_2012_a,0.7495255589623575
9,Tax,1,bpi_challenge_2012_a,0.7443126427533471
10,Tax,2,bpi_challenge_2013_incidents,0.6851848934624966
11,Tax,3,bpi_challenge_2013_incidents,0.688363477210046
12,Tax,1,bpi_challenge_2013_incidents,0.6740253175568378
13,Tax,4,bpi_challenge_2013_incidents,0.6870632069636479
14,Tax,0,bpi_challenge_2013_incidents,0.6919967153175809
15,Tax,4,bpi_challenge_2012_w,0.8288375638360901
16,Tax,3,bpi_challenge_2012_w,0.8449709082123475
17,Tax,1,bpi_challenge_2012_w,0.8448061554264237
18,Tax,2,bpi_challenge_2012_w,0.8284723875299552
19,Tax,0,bpi_challenge_2012_w,0.8461510173976851
20,Tax,0,sepsis,0.6538723962493371
21,Tax,3,sepsis,0.6380531459200449
22,Tax,2,sepsis,0.6253940318589627
23,Tax,4,sepsis,0.6476116362863247
24,Tax,1,sepsis,0.6236821057852494
25,Tax,4,env_permit,0.8315900594880644
26,Tax,2,env_permit,0.847745204906956
27,Tax,3,env_permit,0.8627729425427852
28,Tax,1,env_permit,0.8512634102108257
29,Tax,0,env_permit,0.841332685924472
30,Tax,1,bpi_challenge_2012_o,0.8688133646115742
31,Tax,3,bpi_challenge_2012_o,0.8602513255886741
32,Tax,0,bpi_challenge_2012_o,0.8609017379255737
33,Tax,4,bpi_challenge_2012_o,0.8382671181491473
34,Tax,2,bpi_challenge_2012_o,0.8224665629514426
35,Tax,0,bpi_challenge_2012_complete,0.772847491134724
36,Tax,3,bpi_challenge_2012_complete,0.7848489183422535
37,Tax,2,bpi_challenge_2012_complete,0.7857552228528893
38,Tax,4,bpi_challenge_2012_complete,0.7951356053209453
39,Tax,1,bpi_challenge_2012_complete,0.778176440374635
40,Tax,4,bpi_challenge_2013_closed_problems,0.6201519066576502
41,Tax,1,bpi_challenge_2013_closed_problems,0.6294784281909532
42,Tax,3,bpi_challenge_2013_closed_problems,0.6195084887327469
43,Tax,2,bpi_challenge_2013_closed_problems,0.6239676400232445
44,Tax,0,bpi_challenge_2013_closed_problems,0.6055128452874544
45,Tax,3,bpi_challenge_2012,0.8516611550573134
46,Tax,2,bpi_challenge_2012,0.8645278081182228
47,Tax,4,bpi_challenge_2012,0.8669764320188779
48,Tax,1,bpi_challenge_2012,0.8718117683563482
49,Tax,0,bpi_challenge_2012,0.8513158597050444
50,Tax,1,nasa,0.898475131662571
51,Tax,0,nasa,0.8844322213536422
52,Tax,2,nasa,0.9078603216449551
53,Tax,4,nasa,0.8833953497199615
