,approach,fold,log,rt
0,Tax,2,sepsis,450.652020913799
1,Tax,4,sepsis,131.2704524482312
2,Tax,1,sepsis,530.1921732989983
3,Tax,3,sepsis,567.1844217581136
4,Tax,0,sepsis,428.70230704495594
5,Tax,0,helpdesk,68.06370347515862
6,Tax,4,helpdesk,70.40074531719844
7,Tax,1,helpdesk,68.96034956426692
8,Tax,2,helpdesk,69.40476548883194
9,Tax,3,helpdesk,67.48949226340888
10,Tax,1,bpi_challenge_2012_w,232.35516170652005
11,Tax,3,bpi_challenge_2012_w,101.95072376198341
12,Tax,2,bpi_challenge_2012_w,197.2570432278046
13,Tax,0,bpi_challenge_2012_w,165.96343764371022
14,Tax,4,bpi_challenge_2012_w,90.06152025057244
15,Tax,1,bpi_challenge_2012_o,23.861557513082584
16,Tax,4,bpi_challenge_2012_o,50.5540634140088
17,Tax,0,bpi_challenge_2012_o,28.03920730685544
18,Tax,2,bpi_challenge_2012_o,209.95616635580842
19,Tax,3,bpi_challenge_2012_o,28.365418315630674
20,Tax,3,bpi_challenge_2012_w_complete,119.76047473447784
21,Tax,4,bpi_challenge_2012_w_complete,226.14739665269326
22,Tax,2,bpi_challenge_2012_w_complete,43.274670093630704
23,Tax,0,bpi_challenge_2012_w_complete,163.27991123660308
24,Tax,1,bpi_challenge_2012_w_complete,84.52408223161048
25,Tax,1,bpi_challenge_2012_a,20.504833016614867
26,Tax,4,bpi_challenge_2012_a,20.55916120348252
27,Tax,0,bpi_challenge_2012_a,22.09071967898286
28,Tax,2,bpi_challenge_2012_a,19.406358668589295
29,Tax,3,bpi_challenge_2012_a,18.854656936053807
30,Tax,1,bpi_challenge_2013_closed_problems,157.66788593350066
31,Tax,2,bpi_challenge_2013_closed_problems,159.27148478467458
32,Tax,4,bpi_challenge_2013_closed_problems,162.7485634348873
33,Tax,0,bpi_challenge_2013_closed_problems,205.21895214448438
34,Tax,3,bpi_challenge_2013_closed_problems,179.33876097977299
35,Tax,3,bpi_challenge_2012,473.0211631971293
36,Tax,1,bpi_challenge_2012,460.423366725339
37,Tax,0,bpi_challenge_2012,280.26098560954205
38,Tax,4,bpi_challenge_2012,296.9766453110977
39,Tax,2,bpi_challenge_2012,404.58672148822035
40,Tax,2,env_permit,3.8943845065849145
41,Tax,4,env_permit,5.312380210778415
42,Tax,1,env_permit,4.63689062945031
43,Tax,3,env_permit,3.070291983580548
44,Tax,0,env_permit,3.631146777098837
45,Tax,1,bpi_challenge_2012_complete,222.33263764289853
46,Tax,2,bpi_challenge_2012_complete,157.4187578647478
47,Tax,3,bpi_challenge_2012_complete,373.66486159104915
48,Tax,0,bpi_challenge_2012_complete,128.68579180514226
49,Tax,4,bpi_challenge_2012_complete,95.3084336729213
50,Tax,1,bpi_challenge_2013_incidents,24.804789366088126
51,Tax,2,bpi_challenge_2013_incidents,31.58108256014209
52,Tax,3,bpi_challenge_2013_incidents,29.336210800163563
53,Tax,4,bpi_challenge_2013_incidents,28.557970139308193
54,Tax,0,bpi_challenge_2013_incidents,36.13121597323683
55,Camargo_argmax,0,helpdesk,22.835825647006793
56,Camargo_argmax,1,helpdesk,9.081293805217419
57,Camargo_argmax,2,helpdesk,15.406616784694249
58,Camargo_argmax,3,helpdesk,23.062230809295723
59,Camargo_argmax,4,helpdesk,22.783342700143283
60,Camargo_argmax,0,bpi_challenge_2012_w,36.97005057482066
61,Camargo_argmax,1,bpi_challenge_2012_w,38.37226686003933
62,Camargo_argmax,2,bpi_challenge_2012_w,3.21314186746751
63,Camargo_argmax,3,bpi_challenge_2012_w,38.172087666653944
64,Camargo_argmax,4,bpi_challenge_2012_w,35.692887341770216
65,Camargo_argmax,0,bpi_challenge_2012_o,17.86067694175689
66,Camargo_argmax,1,bpi_challenge_2012_o,13.317047307660104
67,Camargo_argmax,2,bpi_challenge_2012_o,17.09746975207455
68,Camargo_argmax,3,bpi_challenge_2012_o,14.470950669368845
69,Camargo_argmax,4,bpi_challenge_2012_o,13.505332893729399
70,Camargo_argmax,0,bpi_challenge_2012_w_complete,10.319269043050106
71,Camargo_argmax,1,bpi_challenge_2012_w_complete,9.511968718998617
72,Camargo_argmax,2,bpi_challenge_2012_w_complete,9.847727628001552
73,Camargo_argmax,3,bpi_challenge_2012_w_complete,11.243645668766167
74,Camargo_argmax,4,bpi_challenge_2012_w_complete,35.39072902740548
75,Camargo_argmax,0,bpi_challenge_2012_a,10.093175283380575
76,Camargo_argmax,1,bpi_challenge_2012_a,8.468246261540353
77,Camargo_argmax,2,bpi_challenge_2012_a,8.02219453683794
78,Camargo_argmax,3,bpi_challenge_2012_a,8.49717575251673
79,Camargo_argmax,4,bpi_challenge_2012_a,9.86649809954344
80,Camargo_argmax,0,bpi_challenge_2013_closed_problems,305.03272365446077
81,Camargo_argmax,1,bpi_challenge_2013_closed_problems,319.96572846835033
82,Camargo_argmax,2,bpi_challenge_2013_closed_problems,74.56676644722276
83,Camargo_argmax,3,bpi_challenge_2013_closed_problems,348.4315734570738
84,Camargo_argmax,4,bpi_challenge_2013_closed_problems,237.43344796495487
85,Camargo_argmax,0,bpi_challenge_2012,36.537342780511764
86,Camargo_argmax,1,bpi_challenge_2012,37.63581312785605
87,Camargo_argmax,2,bpi_challenge_2012,36.705863396750026
88,Camargo_argmax,3,bpi_challenge_2012,3.369010538885881
89,Camargo_argmax,4,bpi_challenge_2012,35.277433520921456
90,Camargo_argmax,0,env_permit,5.810847639284982
91,Camargo_argmax,1,env_permit,7.050194824522841
92,Camargo_argmax,2,env_permit,2.136391133762905
93,Camargo_argmax,3,env_permit,16.915060933408157
94,Camargo_argmax,4,env_permit,9.538830507379208
95,Camargo_argmax,0,bpi_challenge_2012_complete,92.44671352022594
96,Camargo_argmax,1,bpi_challenge_2012_complete,10.715956318852465
97,Camargo_argmax,2,bpi_challenge_2012_complete,11.141126550717429
98,Camargo_argmax,3,bpi_challenge_2012_complete,15.953060702021165
99,Camargo_argmax,4,bpi_challenge_2012_complete,9.970372792223761
100,Camargo_argmax,0,bpi_challenge_2013_incidents,6.439848538907317
101,Camargo_argmax,1,bpi_challenge_2013_incidents,49.156746642847345
102,Camargo_argmax,2,bpi_challenge_2013_incidents,23.95508451117265
103,Camargo_argmax,3,bpi_challenge_2013_incidents,34.389149420560265
104,Camargo_argmax,4,bpi_challenge_2013_incidents,26.720210753003176
105,Camargo_random,0,helpdesk,22.881534164473116
106,Camargo_random,1,helpdesk,9.401695064516243
107,Camargo_random,2,helpdesk,13.49758944430235
108,Camargo_random,3,helpdesk,23.387599916275477
109,Camargo_random,4,helpdesk,23.133776255418038
110,Camargo_random,0,bpi_challenge_2012_w,37.078681119412344
111,Camargo_random,1,bpi_challenge_2012_w,38.49246450406625
112,Camargo_random,2,bpi_challenge_2012_w,3.2446405265007296
113,Camargo_random,3,bpi_challenge_2012_w,38.25286332508014
114,Camargo_random,4,bpi_challenge_2012_w,35.752470556565044
115,Camargo_random,0,bpi_challenge_2012_o,17.860629199301236
116,Camargo_random,1,bpi_challenge_2012_o,13.425819978510502
117,Camargo_random,2,bpi_challenge_2012_o,16.973879878937254
118,Camargo_random,3,bpi_challenge_2012_o,14.470950669368845
119,Camargo_random,4,bpi_challenge_2012_o,13.50523678106102
120,Camargo_random,0,bpi_challenge_2012_w_complete,10.734655132249861
121,Camargo_random,1,bpi_challenge_2012_w_complete,11.102027310941324
122,Camargo_random,2,bpi_challenge_2012_w_complete,9.904635597141565
123,Camargo_random,3,bpi_challenge_2012_w_complete,10.573450142673208
124,Camargo_random,4,bpi_challenge_2012_w_complete,9.770651677964317
125,Camargo_random,0,bpi_challenge_2012_a,10.088009239004435
126,Camargo_random,1,bpi_challenge_2012_a,8.452528367029032
127,Camargo_random,2,bpi_challenge_2012_a,8.02312267149726
128,Camargo_random,3,bpi_challenge_2012_a,8.497582233174716
129,Camargo_random,4,bpi_challenge_2012_a,9.8190788228727
130,Camargo_random,0,bpi_challenge_2013_closed_problems,304.9701476013192
131,Camargo_random,1,bpi_challenge_2013_closed_problems,319.8360480552237
132,Camargo_random,2,bpi_challenge_2013_closed_problems,74.56774898441478
133,Camargo_random,3,bpi_challenge_2013_closed_problems,348.42894812800694
134,Camargo_random,4,bpi_challenge_2013_closed_problems,240.68074028049398
135,Camargo_random,0,bpi_challenge_2012,35.83521890378674
136,Camargo_random,1,bpi_challenge_2012,36.95535114773139
137,Camargo_random,2,bpi_challenge_2012,36.721154870598475
138,Camargo_random,3,bpi_challenge_2012,3.1855505460634816
139,Camargo_random,4,bpi_challenge_2012,35.29747762506154
140,Camargo_random,0,env_permit,5.769013233005274
141,Camargo_random,1,env_permit,7.050057710096348
142,Camargo_random,2,env_permit,2.136427000983683
143,Camargo_random,3,env_permit,16.90280491255144
144,Camargo_random,4,env_permit,9.527239072194021
145,Camargo_random,0,bpi_challenge_2012_complete,10.837757361688965
146,Camargo_random,1,bpi_challenge_2012_complete,10.635108474889693
147,Camargo_random,2,bpi_challenge_2012_complete,10.814778031125545
148,Camargo_random,3,bpi_challenge_2012_complete,9.81085311408607
149,Camargo_random,4,bpi_challenge_2012_complete,10.240358080106189
150,Camargo_random,0,bpi_challenge_2013_incidents,6.565260101323485
151,Camargo_random,1,bpi_challenge_2013_incidents,36.18421815443613
152,Camargo_random,2,bpi_challenge_2013_incidents,28.3022895449534
153,Camargo_random,3,bpi_challenge_2013_incidents,39.90469671341072
154,Camargo_random,4,bpi_challenge_2013_incidents,31.60080414601583
155,Navarin,2,sepsis,36.7917
156,Navarin,4,sepsis,28.8379
157,Navarin,3,sepsis,30.957
158,Navarin,1,sepsis,36.9436
159,Navarin,0,sepsis,36.3371
160,Navarin,2,helpdesk,8.0618
161,Navarin,3,helpdesk,8.1824
162,Navarin,0,helpdesk,8.2139
163,Navarin,4,helpdesk,8.0283
164,Navarin,1,helpdesk,8.4446
165,Navarin,3,bpi_challenge_2012_w,8.0422
166,Navarin,4,bpi_challenge_2012_w,7.7082
167,Navarin,0,bpi_challenge_2012_w,8.0596
168,Navarin,1,bpi_challenge_2012_w,7.6026
169,Navarin,2,bpi_challenge_2012_w,7.8103
170,Navarin,4,bpi_challenge_2012_o,7.046
171,Navarin,3,bpi_challenge_2012_o,7.7371
172,Navarin,2,bpi_challenge_2012_o,7.2233
173,Navarin,0,bpi_challenge_2012_o,7.5538
174,Navarin,1,bpi_challenge_2012_o,8.3715
175,Navarin,0,bpi_challenge_2012_w_complete,8.6167
176,Navarin,4,bpi_challenge_2012_w_complete,7.7907
177,Navarin,3,bpi_challenge_2012_w_complete,8.3668
178,Navarin,1,bpi_challenge_2012_w_complete,8.2559
179,Navarin,2,bpi_challenge_2012_w_complete,7.9156
180,Navarin,0,bpi_challenge_2012_a,7.6491
181,Navarin,3,bpi_challenge_2012_a,7.707
182,Navarin,4,bpi_challenge_2012_a,7.7316
183,Navarin,2,bpi_challenge_2012_a,7.9059
184,Navarin,1,bpi_challenge_2012_a,7.8779
185,Navarin,1,bpi_challenge_2013_closed_problems,155.1314
186,Navarin,0,bpi_challenge_2013_closed_problems,156.0601
187,Navarin,4,bpi_challenge_2013_closed_problems,134.8973
188,Navarin,3,bpi_challenge_2013_closed_problems,176.8387
189,Navarin,2,bpi_challenge_2013_closed_problems,172.8932
190,Navarin,0,bpi_challenge_2012,7.1222
191,Navarin,1,bpi_challenge_2012,7.5054
192,Navarin,3,bpi_challenge_2012,7.4725
193,Navarin,4,bpi_challenge_2012,7.2654
194,Navarin,2,bpi_challenge_2012,7.4534
195,Navarin,3,env_permit,3.0792
196,Navarin,1,env_permit,4.6556
197,Navarin,4,env_permit,5.3168
198,Navarin,0,env_permit,3.647
199,Navarin,2,env_permit,3.9197
200,Navarin,2,bpi_challenge_2012_complete,7.2956
201,Navarin,3,bpi_challenge_2012_complete,7.17
202,Navarin,1,bpi_challenge_2012_complete,7.5074
203,Navarin,4,bpi_challenge_2012_complete,7.0796
204,Navarin,0,bpi_challenge_2012_complete,6.9477
205,Navarin,3,bpi_challenge_2013_incidents,14.8522
206,Navarin,2,bpi_challenge_2013_incidents,11.4759
207,Navarin,1,bpi_challenge_2013_incidents,10.7458
208,Navarin,4,bpi_challenge_2013_incidents,12.4296
209,Navarin,0,bpi_challenge_2013_incidents,12.3249
210,Francescomarino,2,sepsis,906.3955387164184
211,Francescomarino,4,sepsis,456.5420623967094
212,Francescomarino,1,sepsis,313.1054166586979
213,Francescomarino,3,sepsis,669.1567406255832
214,Francescomarino,0,sepsis,174.13604417118637
215,Francescomarino,0,helpdesk,136.40351474297628
216,Francescomarino,4,helpdesk,199.14032148130136
217,Francescomarino,1,helpdesk,129.85645331202994
218,Francescomarino,2,helpdesk,155.8232288695574
219,Francescomarino,3,helpdesk,178.2296005881956
220,Francescomarino,1,bpi_challenge_2012_w,499.87728236954985
221,Francescomarino,3,bpi_challenge_2012_w,171.66510356615544
222,Francescomarino,2,bpi_challenge_2012_w,175.80067743367002
223,Francescomarino,0,bpi_challenge_2012_w,345.13331942213915
224,Francescomarino,4,bpi_challenge_2012_w,49.37461573508881
